"Vanhojen vapaarahoitteisten asuntojen hinnat muuttujina Nelj‰nnes,"
"Talotyyppi, Rakennusvuosi, Vuosi, Postinumero ja Tiedot"

" ";" ";" ";" ";" ";"Keskihinta";"Lukum‰‰r‰"
"Vuosi"
" ";"Talotyypit yhteens‰"
" ";" ";"Rakennusvuodet yhteens‰"
" ";" ";" ";"2011"
" ";" ";" ";" ";"04390";.;.
" ";" ";" ";" ";"04400";2489;235
" ";" ";" ";" ";"04410";2274;179
" ";" ";" ";" ";"04420";2536;54
" ";" ";" ";" ";"04430";2607;115
" ";" ";" ";" ";"04440";1908;44
" ";" ";" ";" ";"04460";2275;26
" ";" ";" ";" ";"04480";.;.
" ";" ";" ";" ";"04500";2000;20
" ";" ";" ";" ";"04600";1869;137
" ";" ";" ";" ";"04620";2128;14
" ";" ";" ";" ";"04660";.;2
" ";" ";" ";" ";"04840";.;.
" ";" ";" ";" ";"04920";.;.
" ";" ";" ";" ";"05100";1756;9
" ";" ";" ";" ";"05200";1865;37
" ";" ";" ";" ";"05400";2139;52
" ";" ";" ";" ";"05430";.;2
" ";" ";" ";" ";"05450";.;.
" ";" ";" ";" ";"05460";1965;60
" ";" ";" ";" ";"05510";.;.
" ";" ";" ";" ";"05620";.;.
" ";" ";" ";" ";"05800";1920;231
" ";" ";" ";" ";"05810";2279;68
" ";" ";" ";" ";"05820";1763;45
" ";" ";" ";" ";"05830";2073;107
" ";" ";" ";" ";"05840";1927;66
" ";" ";" ";" ";"05860";1596;15
" ";" ";" ";" ";"05880";1547;50
" ";" ";" ";" ";"05900";1892;86
" ";" ";" ";" ";"06100";2656;269
" ";" ";" ";" ";"06150";2155;68
" ";" ";" ";" ";"06200";.;1
" ";" ";" ";" ";"06400";2095;69
" ";" ";" ";" ";"06450";1802;49
" ";" ";" ";" ";"06500";.;.
" ";" ";" ";" ";"06530";2056;12
" ";" ";" ";" ";"06650";.;5
" ";" ";" ";" ";"06750";.;2
" ";" ";" ";" ";"07110";.;.
" ";" ";" ";" ";"07150";.;.
" ";" ";" ";" ";"07170";.;5
" ";" ";" ";" ";"07190";.;.
" ";" ";" ";" ";"07230";2145;10
" ";" ";" ";" ";"07500";.;2
" ";" ";" ";" ";"07510";.;2
" ";" ";" ";" ";"07550";.;.
" ";" ";" ";" ";"07560";.;2
" ";" ";" ";" ";"07600";.;4
" ";" ";" ";" ";"07700";.;.
" ";" ";" ";" ";"07750";.;.
" ";" ";" ";" ";"07800";.;4
" ";" ";" ";" ";"07820";.;1
" ";" ";" ";" ";"07830";.;.
" ";" ";" ";" ";"07880";.;.
" ";" ";" ";" ";"07890";.;.
" ";" ";" ";" ";"07900";1669;41
" ";" ";" ";" ";"07910";1002;9
" ";" ";" ";" ";"07920";1305;14
" ";" ";" ";" ";"07930";.;.
" ";" ";" ";" ";"07940";1152;9
" ";" ";" ";" ";"07955";.;.
" ";" ";" ";" ";"07970";.;.
" ";" ";" ";" ";"07990";.;.
" ";" ";" ";" ";"08100";2219;139
" ";" ";" ";" ";"08150";2281;32
" ";" ";" ";" ";"08200";1630;94
" ";" ";" ";" ";"08350";1568;39
" ";" ";" ";" ";"08450";.;3
" ";" ";" ";" ";"08500";2012;80
" ";" ";" ";" ";"08680";1955;14
" ";" ";" ";" ";"08700";1709;66
" ";" ";" ";" ";"08800";1700;7
" ";" ";" ";" ";"09120";1239;6
" ";" ";" ";" ";"09220";1475;9
" ";" ";" ";" ";"09430";1537;9
" ";" ";" ";" ";"09630";.;1
" ";" ";" ";" ";"09810";1187;6
" ";" ";" ";" ";"10210";1841;21
" ";" ";" ";" ";"10300";1489;72
" ";" ";" ";" ";"10320";1376;13
" ";" ";" ";" ";"10330";.;4
" ";" ";" ";" ";"10360";.;.
" ";" ";" ";" ";"10410";.;3
" ";" ";" ";" ";"10420";1058;12
" ";" ";" ";" ";"10440";.;.
" ";" ";" ";" ";"10470";.;.
" ";" ";" ";" ";"10520";.;3
" ";" ";" ";" ";"10570";.;.
" ";" ";" ";" ";"10600";2108;87
" ";" ";" ";" ";"10620";.;2
" ";" ";" ";" ";"10640";1764;8
" ";" ";" ";" ";"10650";1584;43
" ";" ";" ";" ";"10660";1404;6
" ";" ";" ";" ";"10680";.;2
" ";" ";" ";" ";"10820";766;9
" ";" ";" ";" ";"10900";1478;76
" ";" ";" ";" ";"10940";.;2
" ";" ";" ";" ";"10960";2006;14
" ";" ";" ";" ";"11100";1725;201
" ";" ";" ";" ";"11120";1594;70
" ";" ";" ";" ";"11130";1535;90
" ";" ";" ";" ";"11310";.;1
" ";" ";" ";" ";"11710";1719;31
" ";" ";" ";" ";"11910";1744;39
" ";" ";" ";" ";"12100";1229;19
" ";" ";" ";" ";"12130";.;1
" ";" ";" ";" ";"12240";1248;10
" ";" ";" ";" ";"12310";1501;18
" ";" ";" ";" ";"12380";.;3
" ";" ";" ";" ";"12400";1189;58
" ";" ";" ";" ";"12520";.;1
" ";" ";" ";" ";"12540";.;3
" ";" ";" ";" ";"12600";.;3
" ";" ";" ";" ";"12700";1302;20
" ";" ";" ";" ";"13100";2191;259
" ";" ";" ";" ";"13110";.;2
" ";" ";" ";" ";"13130";1958;132
" ";" ";" ";" ";"13200";2289;48
" ";" ";" ";" ";"13210";1792;125
" ";" ";" ";" ";"13220";1885;11
" ";" ";" ";" ";"13250";1360;14
" ";" ";" ";" ";"13270";2054;10
" ";" ";" ";" ";"13300";1772;27
" ";" ";" ";" ";"13330";.;.
" ";" ";" ";" ";"13430";.;5
" ";" ";" ";" ";"13500";1673;143
" ";" ";" ";" ";"13600";1551;57
" ";" ";" ";" ";"13700";.;5
" ";" ";" ";" ";"13720";1686;39
" ";" ";" ";" ";"13800";1778;16
