Postinumero;alue;vakiluku
34910;Äijänneva,;120
34930;Liedenpohja;363
34950;Ohtola;197
34970;Toisvesi;121
34980;Killinkoski;394
35100;Orivesi Asemanseutu;3099
35220;Eräjärvi;539
35240;Ristakallio;198
35260;Leväslahti;16
35270;Västilä;167
35300;Orivesi Keskus;4641
35320;Hirsilä;599
35400;Länkipohja;978
35420;Talviainen;118
35480;Längelmäki;64
35500;Korkeakoski;1095
35520;Pirttikangas;79
35530;Lyly;283
35540;Juupajoki;452
35550;Salokunta;169
35600;Halli;1416
35610;Pihlaisto;103
35630;Suinula-Valkamanperä;177
35700;Vilppula Keskus;3629
35740;Ylä-Vääri;114
35750;Väärinmaja;309
35800;Mänttä;4402
35820;Asemakulma-Mustalahti;2147
35990;Kolho;1175
36100;Kangasala Asemanseutu;1181
36110;Ruutana;2658
36120;Suinula-Haviseva;1117
36200;Kangasala Keskus;9891
36220;Suorama;4888
36240;Nattari;4489
36270;Huutijärvi;1373
36280;Pikonlinna;73
36340;Tohkala;263
36420;Sahalahti Keskus;1812
36430;Pakkala;499
36450;Salmentaka;241
36520;Raikku;379
36570;Kaivanto;303
36600;Pälkäne Keskus;3450
36640;Iltasmäki;404
36660;Laitikkala;289
36720;Aitoo;611
36760;Luopioinen Keskus;847
36810;Kuhmalahti Keskus;557
36840;Kuhmajärvi;355
36880;Vehkajärvi;149
36910;Rautajärvi;392
36930;Kyynärö;192
37100;Nokia Keskus;6466
37120;Koskenmäki;10115
37130;Alhoniitty;4787
37140;Harjuniitty;2119
37150;Kankaantaka;3966
37180;Sarkola;380
37200;Siuro;2519
37210;Kulovesi;27
37240;Linnavuori;775
37310;Tottijärvi;876
37350;Rämsöö;162
37370;Narva;1055
37380;Krääkkiö;184
37420;Valkkinen;823
37470;Vesilahti Keskus;1951
37500;Lempäälä Keskus;7713
37530;Säijä;493
37550;Kuivaspää;4694
37560;Kulju;4197
37570;Koivuniemi;409
37600;Valkeakoski Keskus;11525
37630;Vääräkoivu;7112
37700;Sääksmäki;501
37720;Ritvala;195
37740;Haukila;302
37770;Tarttila;491
37800;Toijala keskus;9385
37830;Viiala Keskus;5807
37850;Metsäkansa;353
37860;Kärjenniemi;773
37900;Kylmäkoski Asemanseutu;309
37910;Kylmäkoski Keskus;1335
37960;Sotkia;275
38100;Karkku;883
38120;Kutala;237
38130;Ellivuori;10
38140;Kärppälä;391
38200;Vammala Keskus;6356
38210;Vammala Asemanseutu;4421
38220;Stormi;872
38250;Roismala;1379
38270;Sammaljoki;370
38280;Illo;468
38300;Kiikka;1959
38360;Kiikoinen;1227
38370;Tervahauta;1
38420;Häijää;1034
38460;Mouhijärvi Keskus;1797
38470;Hyynilä;292
38490;Haukijärvi;76
38510;Suodenniemi;1265
38600;Lavia Keskus;1540
38650;Yli-Putto;150
38670;Kalliala-Haunia;187
38680;Tuunajärvi;97
38700;Kankaanpää Keskus;6081
38710;Myllymäki;2154
38720;Vihteljärvi;496
38740;Hapuoja;437
38750;Veneskoski;275
38760;Venesjärvi;370
38770;Lohikko;529
38800;Jämijärvi Keskus;1710
38840;Niinisalo;933
38860;Suurimaa;214
38910;Ala-Honkajoki;560
38920;Vatajankoski;260
38950;Honkajoki Keskus;1376
38970;Lauhala;270
39100;Hämeenkyrö Keskus;3391
39110;Simuna;217
39130;Sasi;751
39150;Pinsiö;838
39160;Julkujärvi;3191
39170;Jumesniemi;186
39180;Herttuala;85
39195;Kaipio;163
39200;Kyröskoski;4923
39230;Osara;205
39290;Vesajärvi;178
39310;Viljakkala Keskus;1006
39340;Karhe;283
39360;Komi;238
39380;Lavajärvi;172
39410;Luhalahti;332
39430;Röyhiö;163
39450;Sisättö;125
39500;Ikaalinen Keskus;4715
39530;Kilvakkala;1063
39580;Riitiala;407
39590;Tevaniemi;261
39610;Kovelahti;206
39620;Kovesjoki;209
39660;Lapinneva;277
39700;Parkano Keskus;5658
39750;Vatajanjärvi;403
39770;Aureskoski;81
39780;Alaskylä;228
39810;Linnankylä;354
39820;Kihniö Keskus;1734
39880;Kihniö Asemanseutu;107
39920;Suomijärvi;171
39930;Karvia Keskus;1138
39940;Kantti;269
39960;Sarvela;456
39965;Karviankylä;184
39980;Sara;205
39990;Alkkia;104
40100;Jyväskylä Keskus;12989
40200;Mannila-Taulumäki;3442
40250;Ritoniemi-Lohikoski;6107
40270;Pappilanrinne-Pappilanvuori;10714
40320;Seppälän Teollisuusalue;4567
40340;Huhtasuo;6322
40400;Halssila;4162
40420;Jyskä;4886
40500;Keljo-Ristonmaa;3290
40520;Kuokkala-Ristikivi;15641
40530;Keljonkangas;5151
40600;Mattilanpelto;2294
40620;Keskussairaala-alue-Kukkumäki;410
40630;Kypärämäki;3845
40640;Keltinmäki;6842
40660;Länsi-Palokka;661
40700;Mäki-Matti;4353
40720;Nisula;2719
40740;Kortepohja;6916
40800;Vaajakoski;8104
40820;Vuoritsalo;969
40900;Säynätsalo;3402
40930;Kinkomaa;1206
40950;Muurame Keskus;7943
41120;Puuppola;2036
41140;Kuikka;642
41160;Tikkakoski;4906
41180;Vehniä;812
41210;Jokihaara;386
41220;Höytiä;330
41230;Uurainen Keskus;1690
41240;Kyynämöinen;258
41260;Hoikankylä;161
41270;Lannevesi;561
41290;Kangashäkki;854
41310;Leppävesi;2996
41325;Laukkavirta;287
41330;Vihtavuori;2595
41340;Laukaa Keskus;5322
41350;Laukaa Asemanseutu;728
41360;Valkola;516
41370;Kuusa;1121
41390;Äijälä,;458
41400;Lievestuore;3415
41410;Kankainen;196
41440;Ruuhimäki;224
41450;Leppälahti;678
41490;Niemisjärvi;809
41500;Hankasalmi Asemanseutu;1525
41520;Hankasalmi Keskus;2046
41530;Veneranta;171
41540;Ristimäki;264
41550;Hannula;181
41560;Säkinmäki;203
41580;Sauvamäki;300
41630;Oravasaari;393
41660;Toivakka Keskus;1918
41710;Rutalahti-Kivisuo;289
41730;Kivisuo;32
41750;Havumäki;97
41770;Leivonmäki;692
41800;Korpilahti Keskus;3626
41820;Saakoski;313
41840;Moksi;101
41860;Rannila;237
41870;Putkilahti;196
41880;Oittila;144
41900;Petäjävesi Keskus;2746
41920;Kintaus;614
41925;Ylä-Kintaus;173
41930;Kuohu;864
41940;Vesanka;1357
41970;Huttula;51
41980;Kuivasmäki;183
42100;Jämsä Keskus;10731
42140;Juokslahti;280
42220;Kaipola;1172
42300;Jämsänkoski Keskus;5827
42330;Haavisto;437
42440;Koskenpää;687
42520;Asunta;164
42560;Pohjoisjärvi;44
42600;Multia Keskus-Väätäiskylä;1547
42660;Sahrajärvi;133
42700;Keuruu Keskus;8233
42720;Valkealahti;78
42800;Haapamäki;1271
42820;Riiho;84
42830;Ylä-Kolkki;55
42840;Kolkki;138
42850;Pohjaslahti;150
42870;Kotala;447
42910;Pihlajavesi;317
42930;Katajamäki;123
43100;Saarijärvi Keskus;6506
43130;Tarvaala;423
43170;Häkkilä;270
43220;Mahlu;474
43240;Lehtola;170
43250;Kolkanlahti;370
43270;Kalmari;558
43300;Kannonkoski Keskus;1326
43340;Kannonjärvi;183
43390;Lokakylä;87
43420;Kukko;71
43430;Väätäiskylä;43
43440;Pylkönmäki Keskus;546
43480;Pääjärvi;153
43490;Kangasaho;176
43500;Karstula Keskus;2965
43520;Kiminki;245
43540;Rantakylä-Pirttilahti;150
43560;Vahanka;201
43610;Aho;112
43640;Humppi;152
43660;Vastinki;268
43700;Kyyjärvi Keskus;1299
43720;Kumpulainen;131
43800;Kivijärvi Keskus-Sompala;1123
43840;Sompala;52
43900;Kinnula Keskus;1441
43940;Muhola-Saarensalmi;245
43960;Saarensalmi;71
44100;Äänekoski Keskus,;4391
44120;Mämmensalmi-Mustaniemi;2667
44150;Likolahti-Karhunlähde;3472
44160;Huutomäki;416
44170;Hietama;544
44190;Parantala;256
44200;Suolahti Keskus;4827
44220;Sörkänmäki;485
44250;Äänekoivisto,;422
44260;Vihijärvi;296
44280;Sumiainen Keskus;924
44300;Konnevesi Keskus;1859
44320;Sirkkamäki;140
44330;Hytölä;307
44350;Istunmäki;391
44370;Mäntymäki;188
44400;Konginkangas Keskus;723
44420;Liimattala;390
44440;Räihä;126
44460;Kalaniemi;149
44480;Niinilahti;166
44500;Viitasaari Keskus;4530
44530;Ilmolahti;178
44580;Huopanankoski;223
44590;Vuorilahti;78
44610;Kärnä;183
44630;Kumpumäki;211
44640;Kymönkoski;405
44670;Suovanlahti;155
44680;Lahnanen;70
44730;Löytänä;103
44740;Keitelepohja-Kotvala;208
44760;Keihärinkoski;367
44770;Valkeisjärvi;28
44790;Kotvala;59
44800;Pihtipudas Keskus;2581
44860;Alvajärvi;285
44880;Muurasjärvi;667
44910;Elämäjärvi;276
44920;Peninki;216
44950;Kärväsjärvi;196
44970;Korppinen;182
45100;Kouvola Keskus;9617
45120;Kotkankallio-Vahteranmäki;3956
45130;Korjala-Kaunisnurmi;1785
45150;Kankaronmäki-Eskolanmäki;4887
45160;Lehtomäki;5254
45200;Tornionmäki;6131
45330;Harju;348
45360;Kukkuramäki;3870
45370;Valkeala kk;2745
45410;Utti;889
45460;Savero;199
45610;Koria;5073
45700;Kuusankoski Keskus;9043
45720;Kotiharju-Ruhjonmäki;2863
45740;Maunuksela;3165
45750;Kuusankosken Sairaala-alue;96
45810;Pilkanmaa;1575
45910;Voikkaa;2794
45940;Oravala;318
46110;Tuohikotti;393
46140;Vekaranjärvi;174
46230;Aro;510
46400;Kaipiainen;497
46430;Tirva-Inkerilä;310
46450;Enäjärvi;182
46530;Kannuskoski;177
46570;Saaramaa;42
46710;Sippola;791
46730;Ruotila;120
46750;Liikkala;307
46800;Myllykoski;4868
46810;Ummeljoki;1521
46860;Anjalankoski Keskus;670
46900;Inkeroinen;3935
46910;Anjala;2065
46930;Huruksela;230
46950;Ahvio;72
46960;Muhniemi;349
47110;Löytty;100
47150;Raussila;177
47200;Elimäki kk;2414
47260;Ratula;143
47310;Haapa-Kimola;264
47350;Kimonkylä;136
47400;Kausala;4716
47440;Sääskjärvi;142
47450;Erottaja;277
47460;Hiisiö;64
47490;Mankala-Hiisiö;372
47520;Iitti kk;140
47540;Löyttilä;188
47610;Kymentaka;170
47650;Kimola;222
47710;Jaala kk;1150
47760;Huhdasjärvi;135
47810;Selänpää;337
47830;Hasula;126
47850;Verla;159
47900;Vuohijärvi;278
47910;Hillosensalmi;33
48100;Kotkansaari;10494
48130;Katariina;727
48200;Hovinsaari;1719
48210;Toukolan Sairaala-Alue;555
48220;Metsola;1218
48230;Korela-Jylppy;1542
48300;Ruonala;1195
48310;Mussalo;4551
48350;Karhuvuori;3648
48400;Sutela;4251
48410;Kaukola;1717
48600;Karhula;7256
48700;Kyminlinna;2532
48710;Koivula;1427
48720;Kymi;1915
48750;Nikeli;170
48770;Ristinkallio;1975
48800;Otsola-Mäntykangas;2205
48810;Rantahaka;796
48900;Sunila;1411
48910;Suulisniemi;1551
48930;Tiutinen;375
49200;Heinlahti;723
49210;Huutjärvi;1033
49220;Siltakylä;1845
49240;Purolanlahti;391
49270;Pyhtää kk;887
49290;Vastila;449
49300;Tavastila;717
49340;Juurikorpi;148
49400;Hamina Keskus;10167
49410;Poitsila;2052
49420;Uusi-Summa;2048
49460;Hillo;1263
49480;Vanha-Summa;485
49490;Neuvoton;1482
49510;Husula;1180
49520;Reitkalli;289
49540;Metsäkylä;490
49570;Kannusjärvi;452
49610;Sivatti;97
49630;Vehkajoki;116
49640;Paijärvi;171
49660;Pyhältö;625
49700;Miehikkälä Kirkonkylä;917
49720;Hurttala;60
49730;Muurikkala;342
49750;Kalliokoski;158
49760;Suur-Miehikkälä;235
49770;Salo-Miehikkälä;242
49780;Onkamaa;120
49840;Mäntlahti;145
49860;Klamila;689
49900;Virolahti Keskus;2080
49930;Vaalimaa;173
49960;Ala-Pihlaja;220
49980;Ravijoki;280
50100;Mikkeli Keskus;8979
50120;Siekkilä;1620
50130;Nuijamies;2976
50150;Karkialampi;1402
50160;Kattilansilta;2516
50170;Peitsari;6026
50180;Visulahti;814
50190;Tuppurala;4879
50200;Kovala;636
50300;Rämälä;353
50350;Norola;348
50500;Tuukkala-Kaituenmäki;1545
50520;Moision Sairaala-alue;148
50600;Karikko;4643
50670;Otava;1952
50700;Syysjärvi;574
50770;Korpikoski;253
50800;Annilanselkä;550
50970;Ihastjärvi;2353
51130;Vanhamäki;181
51200;Kangasniemi Keskus;4031
51260;Tahkomäki;169
51270;Kutemajärvi;234
51310;Levä;148
51335;Kaihlamäki;51
51340;Hännilä-Särkiharju;323
51360;Koivula-Synsiö;197
51380;Synsiö;51
51420;Harjumaa-Pajulankylä;253
51430;Läsäkoski;83
51440;Vuojalahti;261
51450;Pajulankylä;67
51460;Luusniemi;225
51520;Hiirola;440
51540;Kalvitsa;355
51600;Haukivuori Keskus-Piitkäaho;1470
51620;Pitkäaho;64
51670;Nykälä;172
51720;Rahula;488
51740;Huuhanaho;215
51760;Nuutilanmäki;300
51780;Kuosmala;139
51810;Maivala;163
51820;Hatsola;290
51850;Vuorenmaa;233
51860;Narila;80
51880;Koikkala;255
51890;Risulahti;96
51900;Juva Keskus;4641
51930;Paatela;176
51940;Härkälä;129
51980;Lauteala;278
52100;Anttola;1548
52110;Majavesi;392
52150;Hauhala;144
52200;Puumala Keskus;1958
52230;Hurissalo;250
52270;Ryhälä;39
52300;Ristiina Keskus;3002
52320;Vitsiälä;353
52330;Heimari;44
52340;Hangastenmaa;234
52360;Someenjärvi;104
52420;Pellosniemi;716
52510;Hietanen;507
52520;Syväsmäki;152
52550;Hirvensalmi Keskus;1721
52610;Tuukkalanlahti;118
52620;Kuitula;88
52700;Mäntyharju Keskus;5190
52720;Karankamäki-Koirakivi;122
52730;Koirakivi;89
52740;Tuustaipale;297
52760;Mynttilä;103
52780;Kuomiokoski;136
52830;Suomenniemi;704
52850;Halmeniemi;128
52890;Käävänkylä;87
52920;Voikoski;135
52960;Nurmaa;141
52970;Pankalahti-Ahvenainen;94
52980;Ahvenainen;68
53100;Lappeenranta keskus;9981
53130;Keskussairaala-alue-Kimpinen;673
53200;Kaukas-Tirilä;1542
53300;Lauritsala-Mälkiä;8191
53400;Laihia;1963
53420;Mustola;579
53500;Parkkarila-Harapainen-Reijola;5263
53550;Kourulanmäki;1016
53600;Kesämäki;2437
53650;Mattila-Kuusela;2104
53810;Kuusimäki-Lavola;3858
53830;Rutola;652
53850;Skinnarila;10659
53900;Pallo-Tysterniemi-Leiri;2488
53920;Voisalmi;3204
53950;Kivisalmi;2137
54100;Joutseno Keskus;5434
54110;Lampikangas;1083
54120;Pulp;1813
54190;Konnunsuo;85
54230;Nuijamaa;714
54250;Rapattila;177
54260;Hanhijärvi;796
54270;Vainikkala;473
54300;Vilkjärvi;625
54310;Hytti;438
54330;Simola;435
54390;Pulsa;154
54410;Ylämaa Keskus;1004
54430;Hujakkala;163
54460;Ylijärvi;105
54490;Ahomäki;181
54500;Taavetti-Somerharju;2857
54510;Uro;468
54530;Luumäki;1228
54550;Suo-Anttila;96
54580;Somerharju;37
54590;Kaitjärvi;141
54710;Lemi Keskus;1365
54720;Laksiainen;146
54750;Välijoki;298
54770;Heituinlahti;581
54800;Savitaipale Keskus;2700
54820;Kotimäki;263
54850;Kuukanniemi;1122
54915;Saimaanharju-Kyläniemi;1823
54920;Taipalsaari;1562
54930;Levänen;315
54940;Solkei;124
54950;Pettilä;104
54960;Vehkataipale;572
55100;Imatra Keskus;10140
55120;Mansikkala-Tuulikallio;3287
55300;Rauha-Tiuruniemi;974
55320;Rauha;552
55330;Tiuruniemi;69
55400;Tainionkoski-Mustalampi;1440
55420;Karhumäki-Karhukallio;2156
55510;Sotkulampi-Linnasuo;1351
55610;Rajapatsas-Teppanala;3059
55700;Vintteri-Virasoja;1451
55800;Vuoksenniska-Saarlampi;4310
55910;Rautio-Kurkvuori;1715
56100;Ruokolahti Keskus;2203
56120;Salosaari;880
56140;Äitsaari,;268
56210;Virmutjoki;436
56310;Syyspohja;225
56330;Utula;35
56350;Kyläniemi;20
56410;Kaiturinpää;165
56440;Pohja-Lankila;245
56510;Puntala;436
56550;Niska-Pietilä;144
56610;Rautjärvi;628
56640;Purnujärvi;105
56710;Miettilä;139
56730;Laikko;319
56800;Simpele;2669
57100;Heikinpohja-Piispanmäki;3791
57120;Savonlinna;6
57130;Savonlinna Keskus;2017
57170;Sortteerinlahti-Talvisalo;2066
57200;Miekonniemi-Venäjänniemi;2610
57210;Nojanmaa;2767
57220;Haka-alue-Viuhonmäki;1650
57230;Inkerinkylä;3516
57310;Rinkilä;738
57510;Laitaatsilta;527
57600;Poukkusilta-Pihlajaniemi;2074
57710;Kellarpelto-Rantakoivikko;3028
57810;Aholahti;332
58130;Oravi;141
58140;Ahvensalmi;80
58150;Makkola;232
58160;Karvila;182
58170;Simanala;280
58175;Enonkoski Keskus;938
58180;Ihamaniemi;154
58200;Kerimäki Keskus;3392
58220;Louhi;425
58260;Kumpuranta;202
58300;Savonranta Keskus;734
58320;Raikuu;192
58350;Villala;214
58360;Säimen;228
58390;Rönkönvaara;77
58410;Haapakallio;624
58420;Silvola;325
58430;Kulennoinen;487
58450;Punkaharju;431
58500;Punkasalmi;1691
58520;Hiukkajoki;308
58550;Putikko;444
58570;Ruhvana;80
58580;Vuoriniemi;131
58610;Telakanava;144
58620;Lohilahti;303
58650;Kiviapaja;121
58680;Piojärvi;51
58690;Ala-Särkilahti-Piojärvi;113
58700;Sulkava Keskus;2244
58720;Kaartilankoski;314
58770;Pihlajalahti;248
58810;Kallislahti;345
58830;Parkumäki;315
58850;Hiltula;112
58900;Rantasalmi Keskus;2596
58910;Rantasalmi Asemanseutu;189
58920;Kolkontaipale;346
58940;Tuusmäki;262
59100;Parikkala Keskus;2391
59130;Koitsanlahti;189
59210;Melkoniemi;158
59310;Särkisalmi;974
59320;Haapaoja;93
59410;Kirjavala;431
59510;Maironiemi;443
59520;Saari;131
59530;Mikkolanniemi;93
59610;Tarnala;197
59710;Kummunkylä;121
59720;Niukkala;166
59730;Uukuniemi;128
59800;Kesälahti Keskus;1695
59810;Suurikylä;96
59820;Purujärvi-Rajavaara;165
60100;Seinäjoki Keskus;9313
60120;Pohja;2548
60150;Kasperi;4476
60200;Törnävä;10216
60220;Huhtala;1932
60280;Eskoon Keskuslaitosalue;2
60320;Alakylä-Jouppi;6972
60420;Impivaara;1219
60450;Munakka;419
60510;Hyllykallio;7846
60550;Nurmo Keskus;4442
60560;Halkosaari;702
60640;Kurjenneva;660
60720;Tuomikylä;1854
60760;Pohjanluoma;1022
60800;Ilmajoki Keskus;5823
61100;Peräseinäjoki Keskus;2076
61110;Vuolle;186
61120;Louko;715
61140;Pasto;141
61150;Sydänmaa;66
61160;Koura;578
61170;Sääskiniemi;305
61180;Haapaluoma;241
61220;Myllysalo;257
61230;Luopa;735
61250;Jalasto;297
61270;Luopajärvi;655
61280;Jokipii;583
61290;Taivalmaa;123
61300;Kurikka Keskus;6824
61310;Panttila;779
61330;Koskenkorva;2145
61340;Nopankylä;272
61350;Huissi;430
61360;Mieto;1095
61370;Lohiluoma;369
61380;Polvenkylä;172
61400;Ylistaro Keskus;2050
61410;Ylistaro Asemanseutu;844
61430;Isorehto;401
61440;Untamala;203
61450;Kylänpää;640
61460;Hanhikoski;234
61470;Kitinoja;401
61500;Isokyrö Keskus;2785
61520;Lehmäjoki;242
61550;Orismala;697
61560;Orisberg;58
61600;Jalasjärvi Keskus;4050
61630;Hirvijärvi;313
61640;Ala-Valli;214
61650;Kalakoski;402
61680;Mantila;261
61710;Pentinmäki;300
61720;Koskue;600
61730;Yli-Valli;263
61760;Ilvesjoki;384
61800;Kauhajoki Keskus;8444
61810;Luomankylä;302
61820;Kainasto;642
61840;Norinkylä;342
61850;Kauhajoki Asemanseutu;2281
61860;Harja;215
61880;Ikkeläjärvi;203
61910;Nummijärvi;314
61920;Nummikoski;80
61940;Hyyppä;316
61950;Juonikylä;167
61960;Kyrönlatva;153
61980;Päntäne;962
62100;Lapua Keskus;10780
62130;Hellanmaa;587
62150;Rintakangas;158
62160;Karhunkylä;629
62165;Tiisteenjoki;363
62170;Lakaluoma;287
62175;Ylikylä-Mäenpää;157
62185;Mäki-Paavola;159
62190;Ruha;650
62200;Kauhava Keskus;5838
62220;Pernaa;500
62230;Jylhä;429
62240;Huhmarkoski;587
62260;Hirvijoki;213
62280;Mustamaa;130
62290;Hirvikylä;301
62295;Kauhajärvi;473
62300;Härmä;2506
62310;Voltti;1237
62340;Kuoppa-Vakkuri;106
62350;Ekola;126
62370;Kangasto;237
62375;Ylihärmä Keskus-Vesiluoma;2641
62380;Kosolankylä;236
62395;Petterinmäki;135
62410;Rintala;356
62420;Kortesjärvi Keskus;1074
62430;Peltotupa;148
62435;Pirttinen;119
62440;Perkiömäki;117
62470;Purmojärvi;470
62500;Evijärvi Keskus;1601
62510;Kuoppa-aho;360
62520;Kautiainen;153
62540;Vasikka-aho;313
62570;Särkilä;228
62600;Lappajärvi Keskus;1906
62610;Tarvola;132
62620;Ala-Seppä;218
62630;Karvala;355
62640;Savonkylä;146
62660;Itäkylä;645
62710;Kurejoki;843
62720;Sissala;326
62730;Haukkala;222
62740;Koskenvarsi;224
62750;Saukonkylä;209
62760;Menkijärvi;251
62800;Vimpeli Keskus;2458
62810;Savonjoki;123
62830;Luoma-Aho;328
62840;Lakaniemi-Pokela;55
62860;Sahi;219
62870;Vinni;68
62880;Sääksvesi-Vinni;310
62900;Alajärvi Keskus;4774
62920;Levijoki;110
62940;Hoisko;582
62950;Paalijärvi;453
62990;Möksy;153
63100;Kuortane Keskus;1562
63120;Leppälänkylä;370
63130;Mäyry;747
63150;Ruona;433
63160;Salmi;162
63210;Niinimaa;121
63230;Lentilä;312
63250;Rantala;106
63300;Alavus Keskus;4910
63320;Kattelus;77
63330;Pahajoki;166
63340;Sapsalampi;212
63350;Sulkavankylä;244
63355;Seinäjärvi;144
63360;Kuivaskylä;296
63370;Taipalus;567
63400;Alavus Asemanseutu;1355
63410;Rantatöysä;491
63430;Kätkänjoki;172
63450;Löyä;69
63500;Lehtimäki Keskus;1012
63510;Lehtimäki Kirkonkylä;286
63530;Länsikylä;187
63540;Hernesmaa;225
63600;Töysä Keskus;1346
63610;Tuuri;1136
63640;Ritola;350
63660;Ähtärinranta,;192
63680;Hakojärvi;336
63700;Ähtäri Keskus,;4564
63770;Peränne;214
63780;Alastaipale;175
63800;Soini Keskus;1850
63830;Keisala;81
63880;Kukonkylä;199
63890;Hautakylä;133
63900;Myllymäki-Vehunkylä;580
63910;Inhan Tehtaat;247
63920;Inha;374
63950;Vehunkylä;51
64100;Kristiinankaupunki Keskus;3054
64140;Tiukka;541
64200;Närpiö Keskus;2817
64210;Kalax;449
64220;Yttermark;988
64230;Närpiön Asemanseutu;894
64240;Böle;249
64250;Pjelax;354
64260;Kaskinen;1444
64300;Lapväärtti;1807
64320;Dagsmark;497
64350;Karijoki Keskus;1218
64370;Myrkky;342
64440;Metsälä-Kallträsk;240
64450;Kallträsk;60
64460;Härkmeri;361
64480;Skaftung;277
64490;Siipyy;193
64510;Nämpnäs;396
64530;Norrnäs;272
64550;Rangsby;272
64610;Övermark;1186
64700;Teuva Keskus;3577
64720;Perälä;675
64740;Horo;287
64760;Peltola;393
64770;Äystö,;518
64810;Vanhakylä;262
64820;Kärjenkoski;199
64830;Villamo;197
64840;Heikkilänjoki;57
64850;Möykky;146
64900;Isojoki Keskus;1219
64930;Kodesjärvi;222
65100;Vaasa Keskus;17119
65130;Hietalahti;4
65170;Vaskiluoto;350
65200;Palosaari;5633
65230;Vetokannas;5859
65280;Gerby;6755
65300;Asevelikylä;4220
65320;Huutoniemi;6286
65350;Suvilahti;3844
65370;Ristinummi;4608
65380;Vanha Vaasa;3479
65410;Sundom;2421
65450;Sulva;1934
65460;Tölby-Rimal;313
65470;Rimal;47
65480;Vikby;273
65520;Helsingby;1496
65610;Mustasaari Keskus;5785
65630;Karperö;1244
65650;Koskö;271
65710;Singsby;619
65730;Jungsund;418
65760;Iskmo;325
65800;Raippaluoto;829
65870;Björköby;366
65920;Norra Vallgrund-Söderudden;345
65930;Södra Vallgrund;366
65970;Söderudden;227
66100;Maalahti;1971
66140;Övermalax;1594
66160;Långåminne;332
66200;Korsnäs Keskus;827
66210;Moikipää;589
66220;Bergö;484
66230;Korsbäck;94
66240;Petolahti;1077
66260;Svarvar;111
66270;Pirttikylä-Sorvari;928
66280;Taklax;392
66290;Harrström;341
66295;Töjby;366
66300;Jurva Keskus;2262
66320;Niemenkylä;351
66330;Hakko;286
66340;Sarvijoki;378
66350;Tainus;152
66360;Kesti;419
66370;Närvijoki;327
66400;Laihia Keskus;5950
66420;Ruto;347
66430;Vedenoja;184
66440;Tervajoki;2035
66450;Jakkula;877
66460;Haapala;355
66470;Jukaja-Jokisalo;349
66500;Vähäkyrö Keskus;2427
66510;Merikaarto;1250
66520;Veikkaala;573
66530;Koivulahti;1765
66540;Petsmo;541
66550;Västerhankmo;315
66560;Österhankmo;234
66580;Kuni;395
66590;Vassor;160
66600;Vöyri Keskus;2776
66640;Maksamaa;1067
66660;Bertby;140
66680;Kaurajärvi;90
66710;Kaitsor;272
66730;Oxkangar;67
66800;Oravainen Keskus;978
66810;Kimo;329
66820;Komossa;237
66830;Oravaisten Tehdas;493
66840;Pensala;373
66850;Jepua;987
66900;Uusikaarlepyy Keskus;3973
66910;Soklot;448
66930;Kovjoki;246
66950;Munsala;941
66970;Hirvlax;512
66980;Monå;124
66999;Kaukaluoto;64
67100;Kokkola Keskus;10056
67200;Kiviniitty-Tullimäki;4241
67300;Halkokari;3868
67400;Rytimäki;4394
67410;Vitsari;803
67500;Sokoja;1103
67600;Linnusperä-Kaustari;3067
67700;Kirkonmäki-Isokylä;4814
67800;Koivuhaka;3721
67900;Ykspihjala;1373
68100;Himanka Keskus;2666
68150;Hillilä;323
68210;Marinkainen;950
68220;Karhi;140
68230;Lohtaja Keskus;1177
68240;Ala-Viirre;358
68300;Kälviä Keskus;3846
68320;Ruotsalo;767
68370;Ullava Keskus;418
68380;Yli-Ullava;357
68390;Rahkonen;143
68410;Alaveteli;1637
68500;Kruunupyy Keskus;2904
68530;Lepplax;560
68550;Öja;767
68555;Bosund;988
68560;Eugmo;975
68570;Luoto;2151
68580;Furuholmen;836
68600;Pietarsaari Keskus;11737
68620;Skutnäs-Västermalm;4846
68630;Kyrkostrand;2604
68660;Östermalm-Björnholmen;2245
68690;Sundby;358
68700;Teerijärvi;1803
68750;Småbönders;291
68800;Kolppi;1206
68810;Ytteresse;1574
68820;Ähtävä,;1138
68830;Bäckby;151
68840;Nederlappfors;344
68870;Edsevö;548
68910;Pännäinen;1252
68920;Forsby;479
68930;Purmo;690
68940;Lillby;504
68970;Överpurmo;226
68999;Rita;101
69100;Kannus Keskus;5161
69150;Eskola;477
69170;Yli-Kannus;291
69300;Toholampi Keskus;2207
69310;Laitala;383
69330;Määttälä;150
69340;Purontaka;169
69410;Sykäräinen;505
69420;Syri;69
69440;Lestijärvi Keskus;506
69450;Yli-Lesti;223
69510;Halsua Keskus-Marjusaari;854
69550;Kanala;94
69570;Karvonen;298
69600;Kaustinen Keskus;4017
69660;Köyhäjoki;256
69700;Veteli Keskus;1465
69730;Tunkkari;453
69750;Sillanpää;208
69820;Räyrinki;704
69830;Pulkkinen;280
69850;Patana;234
69910;Kivikangas;54
69920;Oksakoski-Kivikangas;542
69950;Perho Keskus-Salamajärvi;1327
69970;Salamajärvi;36
69980;Möttönen;975
70100;Kuopio Keskus;11671
70110;Etu-Niirala;3558
70150;Neulamäki;5408
70200;Puijonlaakso;6596
70210;Kuopion Keskussairaala-alue;114
70240;Niuvaniemen Sairaala-alue;131
70260;Julkula;2584
