Postinumero;alue;vakiluku
07150;Laukkoski;984
07170;Keski-Pornainen;2540
07190;Halkia;1487
07220;Kaarenkylä;301
07230;Monninkylä;1610
07280;Ilola;934
07310;Sannainen;404
07320;Jakari-Sannäs;448
07350;Gäddrag;93
07360;Tirmo;44
07370;Pellinki;152
07390;Suurpellinki;123
07410;Kråkö;334
07450;Voolahti;420
07500;Askola Kirkonkylä;1112
07510;Vakkola;670
07530;Onkimaa;314
07550;Torpinkylä;329
07560;Pukkila Keskus;1410
07565;Kantele;279
07580;Tiilää;73
07590;Huuvari-Tiilää;647
07600;Myrskylä Keskus;1748
07680;Juornaankylä;528
07690;Kankkila;136
07700;Koskenkylän saha-alue;1225
07720;Malmgård;78
07740;Gammelby;424
07750;Isnäs;512
07780;Härkäpää;175
07800;Lapinjärvi Keskus;907
07810;Ingermaninkylä;261
07820;Porlammi;544
07830;Pukaro;311
07840;Lindkoski;208
07850;Heikinkylä;323
07870;Skinnarby;453
07880;Liljendal Keskus;1037
07890;Mickelspiltom;212
07900;Loviisa Keskus;4097
07910;Valko;1157
07920;Etelä-Harju;1453
07930;Pernaja Kirkonkylä;695
07940;Määrlahti;999
07945;Kuggom;508
07955;Tesjoki;1262
07960;Ahvenkoski;140
07970;Ruotsinpyhtää Keskus;587
07980;Kuninkaankylä;322
07990;Ruotsinkylä-Koskisto;326
08100;Lohja Keskus;7767
08150;Keskilohja;5304
08200;Ojamo;4023
08350;Routio;2477
08360;Kisakallio;0
08450;Hormajärvi;316
08480;Karstu;269
08500;Ventelä-Millola;6526
08680;Muijala;1861
08700;Virkkala;7536
08800;Kirkniemi;1692
09120;Karjalohja;1229
09220;Sammatti;1590
09430;Saukkola;1693
09520;Millola;117
09630;Koisjärvi;527
09810;Nummi-Oinola;1010
09930;Leppäkorpi;305
10120;Tähtelä;674
10140;Päivölä;310
10160;Degerby;882
10210;Inkoo Keskus;2719
10230;Inkoo Asemanseutu;393
10250;Fagervik;135
10270;Barösund;148
10300;Karjaa Keskus;7539
10320;Bäljars;1329
10330;Pinjainen;607
10350;Meltolan sairaala-alue;93
10360;Mustio;1343
10380;Kaunislahti;115
10410;minnefors;387
10420;Pohjankuru;1882
10440;Bollsta;344
10470;Fiskari;503
10480;Antskog;116
10520;Tenhola Kirkonkylä;1778
10570;Bromarv;524
10600;Tammisaari Keskus;5153
10620;Högbacka;1865
10640;Dragsvik;990
10650;Flyet;2691
10660;Trollböle;890
10680;Skogby;224
10710;Snappertuna;370
10820;Lappohja;636
10900;Hanko Keskus;4470
10940;Hangonkylä;2178
10960;Hanko Pohjoinen;1919
11100;Riihimäki Keskus;6563
11120;Pohjois-Riihimäki;7269
11130;Peltosaari-Patastenmäki;9268
11310;Taka-Kasarmi;821
11710;Herajoki;3232
11910;Lasi-Kumela;2557
12100;Oitti;2718
12130;Mommila;355
12170;Hietoinen;222
12210;Hausjärvi kk;242
12240;Hikiä;1759
12310;Ryttylä;1883
12350;Turkhauta;464
12380;Leppäkoski;544
12400;Tervakoski;4732
12450;Vähikkälä;288
12520;Kormu;460
12540;Launonen;1594
12600;Läyliäinen;1968
12630;Sajaniemi;293
12640;Joentaka;336
12700;Loppi kk;2409
12750;Pilpala;540
12820;Räyskälä;53
12920;Topeno;368
12950;Vojakkala-Eerolankulma;190
13100;Hämeenlinna Keskus;10497
13110;Kantola;180
13130;Kauriala;6214
13200;Keinusaari;1403
13210;Hätilä;8357
13220;Sairio;1681
13250;Katuma;1019
13270;Ruununmylly;1538
13300;Käikälä;2758
13330;Harviala;709
13430;Hattelmala;1204
13500;Jukola;11766
13530;Hämeenlinna sairaala-alue;0
13600;Ojoinen;3865
13700;Parolannummi;435
13720;Parola;4405
13800;Katinala;1355
13880;Rahkoila;1314
13900;Pekola;913
14140;Jokimaa;212
14200;Turenki;9043
14240;Väli-Janakkala;929
14300;Renko kk;2232
14330;Kaloinen;17
14370;Lukana;43
14430;Vuohiniemi;73
14450;Rimmilä;115
14500;Iittala;3372
14530;Leteensuo;271
14610;Lepaa;444
14620;Tyrväntö;168
14680;Alvettula;599
14690;Torvoila;175
14700;Hauho kk;1969
14770;Eteläinen;941
14810;Pohjoinen;310
14820;Syrjäntaka;853
14840;Sairiala;227
14870;Juttila;239
14930;Sappee;117
14960;Puutikkala;89
14980;Kuohijoki;52
15100;Lahti Asemanseutu;6178
15110;Keski-Lahti;4820
15140;Kartano-Paavola;15053
15150;Möysä;4158
15160;Kolava;1595
15170;Tenava-Tonttila;3791
15200;Kiveriö;3620
15210;Kivistönmäki;4191
15230;Kytölä;2698
15240;Mukkula;7865
15270;Kukkila;1648
15300;Myllypohja-Koiskala;4080
15320;Ahtiala;2887
15340;Kunnas-Hiekkanummi;2845
15460;Mäkelä;611
15500;Liipola;4995
15520;Saksala;2300
15540;Villähde;4489
15550;Rakokivi;3668
15560;Nastola kk;4262
15580;Ruuhijärvi;263
15610;Laune-Nikkilä;5346
15680;Renkomäki-Ämmälä;3064
15700;Hennala-Jokimaa;6414
15800;Kärpänen;3473
15810;Kasakkamäki;1379
15820;Okeroinen;1096
15830;Metsäkangas;3836
15840;Riihelä;2053
15850;Likolampi;645
