"","alue","vakiluku","temp","area","logtiheys","kunta","hintataso","trendi","trendimuutos","pinta_ala"
"58170","Simanala",280,581,"1",0.611694754515646,"Enonkoski",844.498505441094,0.0180533180331319,"-0.0101591053228186",68.4641588561361
"58175","Enonkoski Keskus",938,581,"1",0.840322769800732,"Enonkoski",719.587622275543,0.0174255704771057,"-0.0105815255127101",135.481522534153
"58180","Ihamaniemi",154,581,"1",-0.186066840509404,"Enonkoski",786.371314436788,0.0176827877691759,"-0.0106165937079839",236.367390902155
"58200","Kerimäki Keskus",3392,582,"2",0.93129867603412,"Savonlinna",804.477416076634,0.0170214787457933,"-0.0101868903299",397.335315790571
"58220","Louhi",425,582,"2",1.02527566357013,"Savonlinna",793.754115854736,0.0174113174137233,"-0.0104401985210697",40.097127959031
"58260","Kumpuranta",202,582,"2",0.27684837941903,"Savonlinna",778.102875968341,0.0179898658138893,"-0.0108161259515844",106.783214431703
"58300","Savonranta Keskus",734,583,"3",0.290319265427326,"Savonlinna",893.595752532482,0.0150092602807536,"-0.00854914188266296",376.163622829758
"58320","Raikuu",192,583,"3",0.109241862496359,"Savonlinna",855.72686295239,0.0162030758267187,"-0.00935732589416747",149.299848216862
"58350","Villala",214,583,"3",0.363145253208624,"Kitee",866.71869682816,0.015851201757595,"-0.00911911573038634",92.7403050621296
"58360","Säimen",228,583,"3",0.213470356725469,"Savonlinna",859.489649121586,0.0160821140930001,"-0.00927543775028656",139.464762078193
"58390","Rönkönvaara",77,583,"3",-0.00865786971540856,"Savonlinna",965.325771599705,0.0111080305275909,"-0.0082488821292622",78.550435081473
"58410","Haapakallio",624,584,"4",1.30466291991342,"Savonlinna",822.946485184084,0.0179166155715053,"-0.0103783599309019",30.9400969181478
"58420","Silvola",325,584,"4",0.826315973864252,"Savonlinna",862.564016753186,0.0166970577828708,"-0.00953470022515356",48.4805331397213
"58430","Kulennoinen",487,584,"4",0.967307508886644,"Savonlinna",819.27565193225,0.0180325733574775,"-0.0104585766393714",52.5075134546114
"58450","Punkaharju",431,584,"4",0.874783826463991,"Savonlinna",815.512418380338,0.0181519905662154,"-0.0105411864903551",57.5033893736901
"58500","Punkasalmi",1691,585,"5",1.4902535211907,"Savonlinna",806.803263154412,0.0178261224849714,"-0.010456088901199",54.6877538657147
"58520","Hiukkajoki",308,585,"5",0.211419521660094,"Savonlinna",809.214764036618,0.0177438417310532,"-0.010400386837345",189.291535794174
"58550","Putikko",444,585,"5",0.707854607326193,"Savonlinna",796.91992374297,0.0181659327671928,"-0.0106861321754422",87.0018250130254
"58570","Ruhvana",80,585,"5",0.164217565386089,"Savonlinna",777.149744513142,0.0188585068102929,"-0.011154987913088",54.8115926674589
"58580","Vuoriniemi",131,585,"5",0.115607411113507,"Savonlinna",794.01041409231,0.0182667711422462,"-0.0107543972962472",100.383858430882
"58610","Telakanava",144,586,"6",0.175981493889919,"Sulkava",695.019569635007,0.0134591103940219,"-0.0102705766493281",96.0242664553707
"58620","Lohilahti",303,586,"6",0.208950362060909,"Sulkava",774.335695808109,0.0171736831220104,"-0.0106679560359514",187.280373337351
"58650","Kiviapaja",121,586,"6",0.0398237672745405,"Savonlinna",790.847029989569,0.0165576802839458,"-0.0102618592696355",110.398101012742
"58680","Piojärvi",51,586,"6",-0.237681982713044,"Savonlinna",834.764593903198,0.016886836765794,"-0.0098202153753102",88.156057360325
"58690","Ala-Särkilahti-Piojärvi",113,586,"6",-0.000580907395984755,"Savonlinna",835.673514259848,0.0168568346280941,"-0.0097999046597378",113.151248655973
"58700","Sulkava Keskus",2244,587,"7",0.728499968768659,"Sulkava",831.065237391113,0.0170092851283222,"-0.0099031099306414",419.298089729121
"58720","Kaartilankoski",314,587,"7",0.148086685451607,"Sulkava",804.790734580562,0.0115757675913013,"-0.00962537073100548",223.27647271482
"58770","Pihlajalahti",248,587,"7",0.388471870884809,"Savonlinna",841.926225547289,0.0160493993137562,"-0.00950222741452283",101.386425077341
"58810","Kallislahti",345,588,"8",0.552341524344133,"Savonlinna",818.425614839654,0.0168496679678519,"-0.0100371191569806",96.7113778474442
"58830","Parkumäki",315,588,"8",0.564363005377942,"Rantasalmi",818.057291622167,0.0168623926051308,"-0.0100456241801018",85.8909781060244
"58850","Hiltula",112,588,"8",0.503277998188785,"Rantasalmi",1005.53391546526,0.0290085206735638,"-0.00771988443616355",35.1511893828353
"58900","Rantasalmi Keskus",2596,589,"9",0.691248872576498,"Rantasalmi",937.264393222821,0.0291188502516848,"-0.00879303051113546",528.513171953841
"58910","Rantasalmi Asemanseutu",189,589,"9",0.751355626425879,"Rantasalmi",901.994005599746,0.0292771982143281,"-0.00934648099227797",33.5047342624813
"58920","Kolkontaipale",346,589,"9",0.435611869398314,"Rantasalmi",942.617931645916,0.0285457125289807,"-0.00855187835795959",126.900761850187
"58940","Tuusmäki",262,589,"9",0.430591399384043,"Rantasalmi",907.355444445039,0.0291787928211429,"-0.00923958459468273",97.2097647068798
"59100","Parikkala Keskus",2391,591,"1",1.15808553445098,"Parikkala",921.119688688996,0.0289287984434767,"-0.00896801921064658",166.147588286925
"59130","Koitsanlahti",189,591,"1",0.730722995960048,"Parikkala",953.191854436846,0.0283604853963991,"-0.0083506687233149",35.1349069910999
"59210","Melkoniemi",158,592,"2",0.478486143303531,"Parikkala",918.782653562817,0.028970980662974,"-0.00901384116370095",52.5014071582171
