year pnro price n
2011 33580 2273.0 202
2011 33610 2197.0 85
2011 33700 2350.0 17
2011 33710 1924.0 261
2011 33720 1722.0 408
2011 33730 1956.0 20
2011 33800 1937.0 154
2011 33820 2048.0 124
2011 33840 1639.0 99
2011 33850 1319.0 56
2011 33880 1583.0 92
2011 33900 2322.0 169
2011 33950 2060.0 89
2011 33960 2079.0 180
2011 34600 1050.0 20
2011 34800 983.0 44
2011 35100 1124.0 24
2011 35300 1231.0 57
2011 35700 862.0 18
2011 35800 759.0 71
2011 35820 712.0 12
2011 36110 1898.0 24
2011 36200 1928.0 127
2011 36220 1548.0 67
2011 36240 1779.0 80
2011 36270 1766.0 13
2011 36420 1314.0 11
2011 36600 1581.0 11
2011 36760 1421.0 6
2011 37100 1735.0 165
2011 37120 1805.0 147
2011 37130 1605.0 63
2011 37140 1766.0 12
2011 37150 1675.0 59
2011 37200 1133.0 13
2011 37240 1038.0 16
2011 37470 1716.0 10
2011 37500 1830.0 82
2011 37550 1844.0 33
2011 37560 2099.0 16
2011 37600 1177.0 179
2011 37630 1288.0 134
2011 37800 1285.0 91
2011 37830 1102.0 39
2011 38200 1443.0 72
2011 38210 1132.0 40
2011 38600 874.0 6
2011 38700 1311.0 43
2011 38710 955.0 21
2011 38800 911.0 6
2011 39100 1345.0 24
2011 39160 1880.0 27
2011 39200 1099.0 33
2011 39500 1207.0 64
2011 39700 1035.0 35
2011 40100 2537.0 382
2011 40200 2286.0 76
2011 40250 1768.0 94
2011 40270 1861.0 160
2011 40320 1577.0 57
2011 40340 1294.0 117
2011 40400 1714.0 87
2011 40420 1680.0 76
2011 40500 2164.0 41
2011 40520 2131.0 149
2011 40530 1971.0 47
2011 40600 1971.0 52
2011 40630 1649.0 32
2011 40640 1368.0 104
2011 40700 2212.0 89
2011 40720 2108.0 65
2011 40740 1603.0 111
2011 40800 1488.0 84
2011 40820 1291.0 26
2011 40900 1463.0 29
2011 40930 1502.0 7
2011 40950 1600.0 45
2011 41160 1500.0 40
2011 41310 1906.0 12
2011 41330 1239.0 16
2011 41340 1469.0 59
2011 41400 1226.0 21
2011 41500 692.0 10
2011 41520 959.0 13
2011 41800 1204.0 27
2011 41900 1103.0 6
2011 42100 1326.0 129
2011 42220 604.0 7
2011 42300 885.0 38
2011 42600 857.0 7
2011 42700 1018.0 100
2011 43100 1028.0 55
2011 43500 1059.0 21
2011 43900 1238.0 6
2011 44100 1212.0 96
2011 44120 1199.0 13
2011 44150 963.0 35
2011 44200 802.0 39
2011 44300 860.0 6
2011 44500 1101.0 37
2011 44800 898.0 17
2011 45100 1481.0 195
2011 45120 1546.0 40
2011 45130 1283.0 34
2011 45150 1135.0 92
2011 45160 1152.0 91
2011 45200 1206.0 124
2011 45360 1452.0 30
2011 45370 1338.0 7
2011 45610 1233.0 23
2011 45700 1061.0 168
2011 45720 1168.0 14
2011 45740 993.0 19
2011 45910 876.0 14
2011 46800 888.0 47
2011 46900 858.0 21
2011 46910 1050.0 8
2011 47200 858.0 20
2011 47400 1150.0 28
2011 47710 914.0 11
2011 48100 1625.0 304
2011 48200 1052.0 42
2011 48310 1839.0 51
2011 48350 807.0 103
2011 48400 1333.0 66
2011 48410 1284.0 19
2011 48600 1222.0 125
2011 48700 1111.0 48
2011 48770 1116.0 12
2011 48800 1470.0 18
2011 48900 1219.0 14
2011 48910 1160.0 12
2011 49210 1210.0 11
2011 49400 1454.0 119
2011 49410 1213.0 16
2011 49420 1178.0 20
2011 49460 859.0 14
2011 49490 1154.0 11
2011 49510 786.0 12
2011 49900 1065.0 6
2011 50100 1969.0 270
2011 50120 1340.0 56
2011 50130 1555.0 37
2011 50160 1261.0 73
2011 50170 1720.0 52
2011 50190 1773.0 47
2011 50500 1747.0 20
2011 50600 1597.0 42
2011 50670 1240.0 8
2011 51200 1044.0 42
2011 51900 1099.0 39
2011 52100 1160.0 7
2011 52200 874.0 10
2011 52300 1297.0 23
2011 52550 1076.0 10
2011 52700 932.0 57
2011 53100 2238.0 258
2011 53200 1597.0 25
2011 53300 1503.0 91
2011 53500 1776.0 12
2011 53600 2073.0 49
2011 53810 1414.0 90
2011 53850 1484.0 109
2011 53900 2255.0 50
2011 53920 1418.0 75
2011 53950 1136.0 38
2011 54100 1197.0 58
2011 54110 1415.0 9
2011 54500 923.0 18
2011 54800 1285.0 14
2011 54915 1497.0 12
