pnro lhinta trendi hintataso
01400 8.01674036815605 0.0228078038243191 3031.2803534837
01420 7.9995463180538 0.0183763463638981 2979.60588695552
01450 7.85804948300651 0.0134057031793277 2586.4704974188
01480 7.65649189972557 0.00259318368870412 2114.32713149487
01490 7.89451945874188 0.0144860395780197 2682.54019551697
01510 8.20778483942954 0.0270142445178474 3669.40513527355
01520 8.1751540431075 0.0245851674794111 3551.60198161339
01530 8.05763914957764 0.0211846021777374 3157.82617192281
01600 7.85823707203312 0.0156927485875947 2586.95573641311
01610 7.89438722815323 0.0215826387731907 2682.18550509881
01620 7.75567054034926 0.0139492462326961 2334.77438042598
01630 8.01296403303273 0.0213532638495045 3019.85480993492
01640 8.08383785522612 0.0241117839056364 3241.65037865384
01650 7.73322656988805 0.0204402673916883 2282.95644844231
